f,INFORMAÇÕES DE JEJUM,ATIVIDADE FÍSICA,RESTRIÇÃO DE MEDICAMENTO,INTERFERENTES
ALERGENO E011,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ALERGENO E1,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ALERGENO EO51,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ALERGENO FF340,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ALERGENO I71,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ALERGENO RD01,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ALERGENO RD02,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ALERGENO RD201,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ALERGENO RD3,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ALERGENO REX1,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ALERGENO RF01,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ALERGENO RF02,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ALERGENO RF03,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ALERGENO RF04,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ALERGENO RF13,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ALERGENO RF153,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ALERGENO RF26,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ALERGENO RF75,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ALERGENO RF76,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ALERGENO RF77,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ALERGENO RF78,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ALERGENO RF93,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ALERGENO RFX1,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ALERGENO RFX2,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ALERGENO RFX5,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ALERGENO RGX2,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ALERGENO RHX2,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ALERGENO RMX1,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ALERGENO RMX2,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ALFA 1 GLICOPROTEÍNA A1GP,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ALFAFETOPROTEÍNA (AFPT),ESTE EXAME NÃO NECESSITA DE JEJUM. , ,Informar os medicamento utilizados nos últimos 7 dias., 
AMILASE,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ANDROSTENEDIONA,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ANTI-ENDOMÍSIO IGA,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ANTI-ENDOMÍSIO IGG,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ANTI-ENDOMÍSIO IGM,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ANTI CARDIOLIPINA  IGA,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ANTI CARDIOLIPINA  IGG,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ANTI CARDIOLIPINA  IGM,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ANTICOAGULANTE LÚPICO,ESTE EXAME NÃO NECESSITA DE JEJUM. , ,Informar os medicamentos em uso; principalmente os anticoagulantes orais., 
ANTI HIV,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ANTICORPOS ANTI RECEPTOR TSH (TRAB),ESTE EXAME NÃO NECESSITA DE JEJUM. , ,Informar os medicamentos em uso; especialmente hormônios tireoidianos., 
ANTI-ESTREPTOLISINA O (ASLO),ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ANTIGENO CARCINOEMBRIONARIO (CEA),ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ANTIGENO PROSTATICO ESPECIFICO LIVRE  (PSAL),ESTE EXAME NÃO NECESSITA DE JEJUM. ,"Não ter relações sexuais, ou ejaculação, nas 48 horas (2 dias) anteriores ao exame; não realizar exercício em bicicleta ou equitação 48 horas (2 dias) antes da coleta.", , 
ANTIGENO PROSTATICO ESPECIFICO TOTAL (PSAT),ESTE EXAME NÃO NECESSITA DE JEJUM. ,"Não ter relações sexuais, ou ejaculação, nas 48 horas (2 dias) anteriores ao exame; não realizar exercício em bicicleta ou equitação 48 horas (2 dias) antes da coleta.", , 
ANTI-TRANGLUTAMINASE IGA,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ASPARTATO AMINOTRANSFERASE (TGO),ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ATPO (ANTICORPOS ANTI TIROPEROXIDASE),ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
BILIRRUBINAS TOTAIS E FRAÇÕES (BTF),ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
CÁLCIO,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
CÁLCIO IÔNICO,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
CÁLCIO URINÁRIO 24HORAS,"ESTE EXAME NÃO NECESSITA DE JEJUM.  DESPREZAR A PRIMEIRA URINA DA MANHÃ E A PARTIR DA SEGUNDA URINA DO DIA ATÉ A PRIMEIRA URINA DO DIA SEGUINTE, COLETAR NO FRASCO FORNECIDO. ", , , 
CALPROTECTINA,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
CARBAMAZEPINA,ESTE EXAME NÃO NECESSITA DE JEJUM. , ,O paciente deve estar com a dosagem estável da medicação a pelo menos 2 dias. Informar a dosagem em uso utilizada., 
CERULOPLASMINA,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
CHAGAS,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
CITOMEGALOVIRUS IGG,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
CITOMEGALOVIRUS IGM,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
CITRATO URINÁRIO 24HORAS,"ESTE EXAME NÃO NECESSITA DE JEJUM.  DESPREZAR A PRIMEIRA URINA DA MANHÃ E A PARTIR DA SEGUNDA URINA DO DIA ATÉ A PRIMEIRA URINA DO DIA SEGUINTE, COLETAR NO FRASCO FORNECIDO. ", , , 
CLEARENCE DE CREATININA,"ESTE EXAME NÃO NECESSITA DE JEJUM.  DESPREZAR A PRIMEIRA URINA DA MANHÃ E A PARTIR DA SEGUNDA URINA DO DIA ATÉ A PRIMEIRA URINA DO DIA SEGUINTE, COLETAR NO FRASCO FORNECIDO. ", , ," Informar peso, altura do paciente e a informação do volume urinário total das 24 horas."
CLOSTRIDIUM,"NÃO É NECESSÁRIO DIETA, NEM JEJUM ALIMENTAR.", , , 
COAGULOGRAMA,ESTE EXAME NÃO NECESSITA DE JEJUM. , ,Informar os medicamentos usados; principalmente uso de anticoagulantes orais., 
COBRE,ESTE EXAME NÃO NECESSITA DE JEJUM. , , ,"Informar sexo, idade e se a paciente está grávida ou em uso de anticoncepcional."
COLESTEROL - FRAÇÃO HDL,"CRIANÇAS ATÉ 3 ANOS E 11 MESES: JEJUM DE 3 HORAS, OU INTERVALO ENTRE AS MAMADAS. CRIANÇAS ACIMA DE 4 ANOS E ADULTOS JEJUM DE 8 A 12 HORAS.", , , 
COLESTEROL - FRAÇÃO LDL,"CRIANÇAS ATÉ 3 ANOS E 11 MESES: JEJUM DE 3 HORAS, OU INTERVALO ENTRE AS MAMADAS. CRIANÇAS ACIMA DE 4 ANOS E ADULTOS JEJUM DE 8 A 12 HORAS.", , , 
COLESTEROL - FRAÇÃO VLDL,"CRIANÇAS ATÉ 3 ANOS E 11 MESES: JEJUM DE 3 HORAS, OU INTERVALO ENTRE AS MAMADAS. CRIANÇAS ACIMA DE 4 ANOS E ADULTOS JEJUM DE 8 A 12 HORAS.", , , 
COLESTEROL TOTAL,"CRIANÇAS ATÉ 3 ANOS E 11 MESES: JEJUM DE 3 HORAS, OU INTERVALO ENTRE AS MAMADAS. CRIANÇAS ACIMA DE 4 ANOS E ADULTOS JEJUM DE 8 A 12 HORAS.", , ,Não ingerir bebidas alcoólicas 72 horas antes do exame
COMPLEMENTO C3,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
COMPLEMENTO C4,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
COMPLEMENTO CH50,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
COOMBS DIRETO,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
COOMBS INDIRETO,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
COPROCULTURA,"NÃO É NECESSÁRIO DIETA, NEM JEJUM ALIMENTAR.", , , 
COPROFUNCIONAL,NÃO É NECESSÁRIO DIETA NEM JEJUM ALIMENTAR., , , 
CORTISOL URINÁRIO 24 HORAS,"ESTE EXAME NÃO NECESSITA DE JEJUM.  DESPREZAR A PRIMEIRA URINA DA MANHÃ E A PARTIR DA SEGUNDA URINA DO DIA ATÉ A PRIMEIRA URINA DO DIA SEGUINTE, COLETAR NO FRASCO FORNECIDO. ", , , 
CULTURA PARA PESQUISA DE STREPTOCOCCUS BETA HEMOLÍTICO GRUPO B ,ESTE EXAME NÃO NECESSITA DE JEJUM. , , ,"Para coleta de secreção vaginal: Não estar menstruada; evitar ducha; não usar cremes, talcos ou pomadas na região  na véspera da coleta; três dias de abstinência sexual. Para coleta de secreção perianal e anal: não usar talcos ou pomadas no local 48 horas antes e não evacuar antes da coleta do exame."
CURVA GLICÊMICA,JEJUM DE 8 A 12 HORAS. ,Não fazer esforço físico antes do exame (no mesmo dia do exame).,Não fazer uso de laxante na véspera do exame.,"Exame não realizado em pacientes que tenham feito cirurgia bariátrica. Exame não realizado em pacientes com diagnóstico confirmado de diabetes mellitus. É de extrema necessidade que o paciente venha acompanhado para a realização deste exame, pois, podem ocorrer intercorrências como diarreia, vômito, tontura, fraqueza e lipotimia. Tendo em vista esses riscos, o paciente não será liberado sem a presença de um acompanhante pós-exame."
CREATININA,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
CREATININA URINÁRIA 24 HORAS,"ESTE EXAME NÃO NECESSITA DE JEJUM.  DESPREZAR A PRIMEIRA URINA DA MANHÃ E A PARTIR DA SEGUNDA URINA DO DIA ATÉ A PRIMEIRA URINA DO DIA SEGUINTE, COLETAR NO FRASCO FORNECIDO. ", , , 
CREATINOFOSFOQUINASE (CPK),ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
DHEA,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ELETROFORESE DE HEMOGLOBINA,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
EPSTEIN BAAR VIRUS IGG,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
EPSTEIN BAAR VIRUS IGM,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ESTRADIOL (E2),ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ESTRIOL (E3),ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
EXAME PROTOPARASITOLÓGICO (PPF);FEZES,"NÃO É NECESSÁRIO DIETA, NEM JEJUM ALIMENTAR.", , , 
FATOR ANTI NUCLEO (FAN),ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
FATOR V LEIDEN,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
FENITOÍNA,ESTE EXAME NÃO NECESSITA DE JEJUM. , ,Estar com a dosagem da medicação há pelo menos 2 dias. Colher antes da próxima dose ou 12 horas após a última tomada. Coleta pode ser a qualquer momento se suspeita de intoxicação.Informar a dosagem em uso utilizada., 
FENOBARBITAL,ESTE EXAME NÃO NECESSITA DE JEJUM. , ,Colher antes de uma das tomadas do medicamento (2 h antes) ou conforme orientação médica. Informar a dosagem em uso utilizada., 
FERRITINA,ESTE EXAME NÃO NECESSITA DE JEJUM. , ,Informar os medicamento utilizados nos últimos 7 dias., 
FERRO,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
FIBRINOGÊNIO,ESTE EXAME NÃO NECESSITA DE JEJUM. , ,Informar os medicamentos usados; principalmente uso de anticoagulantes orais., 
FOSFATASE ALCALINA,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
FOSFORO (PHO),ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
GAMAGLUTAMIL TRANSFERASE (GGT),ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
GLICEMIA (GLICOSE),"CRIANÇAS ATÉ 3 ANOS E 11 MESES: JEJUM DE 3 HORAS, OU INTERVALO ENTRE AS MAMADAS. CRIANÇAS ACIMA DE 4 ANOS E ADULTOS: JEJUM DE 8 A 12 HORAS. ",Não realizar esforço físico 12 horas antes da coleta., , 
GONADOTROFINA CORIÔNICA HUMANA  (BHCG),ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
GORDURA FECAL,"NÃO É NECESSÁRIO DIETA, NEM JEJUM ALIMENTAR.", , , 
HBC IGG,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
HBC IGM,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
HBEA,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
HBEAG,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
HBS,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
HBSAG,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
HEMOGLOBINA GLICADA,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
HEMOGRAMA,ESTE EXAME NÃO NECESSITA DE JEJUM. EVITAR DIETA RICA EM GORDURA ANTES DA COLETA.,Não realizar exercício físico intenso antes da coleta., , 
HEPATITE A,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
HEPATITE B,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
HEPATITE C,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
HERPES  IGG,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
HERPES IGM,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
HOMOCISTEINA,CRIANÇAS ABAIXO DE 1 ANO: JEJUM DE 3 HORAS OU INTERVALO ENTRE AS MAMADAS. CRIANÇAS ACIMA DE 1 ANO E ADULTOS: JEJUM DE 6 HORAS., , , 
HORMONIO DO CRESCIMENTO (GH),ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
HORMONIO FOLICULO ESTIMULANTE (FSH),ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
HORMONIO LUTEINIZANTE (LH),ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
HTLV,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
IMUNOGLOBULINA IGA,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
IMUNOGLOBULINA IGE ,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
IMUNOGLOBULINA IGG,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
IMUNOGLOBULINA IGM,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
INDICE DE NORMATIZAÇÃO RANDOMIZADA (INR),ESTE EXAME NÃO NECESSITA DE JEJUM. , ,Informar os medicamentos usados; principalmente uso de anticoagulantes orais., 
INSULINA,CRIANÇAS ATÉ 3 ANOS E 11 MESES: JEJUM MÍNIMO DE 3 HORAS OU INTERVALO ENTRE AS MAMADAS NO CASO DE BEBÊS. CRIANÇAS ACIMA DE 4 ANOS E ADULTOS: JEJUM MÍNIMO DE 8 HORAS E MÁXIMO DE 12 HORAS., , , 
LACTATOHIDROGENASE (LDH),ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
LATEX,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
LIPASE,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
LÍTIO,ESTE EXAME NÃO NECESSITA DE JEJUM. , ,"Estar há pelo menos 3 dias com a dosagem estável da medicação. Realizar a coleta antes da próxima dose do medicamento ou 12 horas após a ingestão da última dose. Informar a dosagem em uso utilizada. Após a coleta do exame, o cliente deverá permanecer 30 minutos de repouso.", 
LÚPICO,ESTE EXAME NÃO NECESSITA DE JEJUM. , ,Informar os medicamentos em uso; principalmente os anticoagulantes orais, 
MAGNÉSIO,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
MARCADOR TUMORAL (CA 72-4),ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
MARCADOR TUMORAL 19-9,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
MICOLÓGICO,"ESTE EXAME NÃO NECESSITA DE JEJUM.  PARA ORIENTAÇÕES SOBRE O PREPARO, ENTRAR EM CONTATO COM O LABORATÓRIO E INFORMAR O MATERIAL A SER COLETADO.", , , 
MARCADOR TUMORAL DE OVÁRIO (CA 125) ,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
MICROALBUMINURIA 24HORAS,"ESTE EXAME NÃO NECESSITA DE JEJUM. DESPREZAR A PRIMEIRA URINA DA MANHÃ  E A PARTIR DA SEGUNDA URINA DO DIA ATÉ A PRIMEIRA URINA DO DIA SEGUINTE, COLETAR NO FRASCO FORNECIDO. ", , , 
MICROALBUMINURIA ISOLADA,"ESTE EXAME NÃO NECESSITA DE JEJUM. COLETAR NO LOCAL, REALIZAR A HIGIENIZAÇÃO COM GAZE UMEDECIDA EM CLOREXIDINA ANTES DA COLETA. DESPREZAR O PRIMEIRO JATO, COLETAR O RESTANTE DO MATERIAL NO FRASCO FORNECIDO E FECHAR BEM.", , , 
MONONUCLEOSE,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
OXALATO URINÁRIO 24HORAS,"ESTE EXAME NÃO NECESSITA DE JEJUM. DESPREZAR A PRIMEIRA URINA DA MANHÃ  E A PARTIR DA SEGUNDA URINA DO DIA ATÉ A PRIMEIRA URINA DO DIA SEGUINTE, COLETAR NO FRASCO FORNECIDO. ", , ,"Agentes interferentes: ingestão de ácido ascórbico, proteína animal, purinas, gelatina, cálcio, morangos, pimenta, tomates, ruibarbo, feijões, chás, chocolate, cacau, espinafre e acerola. Hábitos vegetarianos (a despeito do baixo consumo de proteína animal) , má coleta da amostra."
PARATOHORMÔNIO (PTH),ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
PEPTÍDEO C,"JEJUM NECESSÁRIO DE 8 HORAS. PARA CRIANÇAS, FICAM ESTABELECIDOS OS SEGUINTES INTERVALOS DE JEJUM: MENORES DE 1 ANO: INTERVALO ENTRE AS MAMADAS (JEJUM DE 3 HORAS) CRIANÇAS DE 1 A 4 ANOS: 6 HORAS DE JEJUM CRIANÇAS A PARTIR DE 5 ANOS: IGUAL CRITÉRIO PARA ADULTOS.", , , 
PESQUISA DE SANGUE OCULTO,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
POTÁSSIO (K),ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
PROGESTERONA,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
PROLACTINA,ESTE EXAME NÃO NECESSITA DE JEJUM E PRECISA SER REALIZADO 30 MIN DE REPOUSO ANTERIOR A COLETA DE SANGUE., , , 
PROTEÍNA C,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
PROTEÍNA C REATIVA (PCR),ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
PROTEÍNA LIGADORA DE HORMÔNIOS SEXUAIS (SHBG),ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
PROTEÍNA S,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
PROTEÍNA TOTAL E FRAÇÕES,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
PROTEÍNA URINÁRIA 24 HORAS,"ESTE EXAME NÃO NECESSITA DE JEJUM. DESPREZAR A PRIMEIRA URINA DA MANHÃ  E A PARTIR DA SEGUNDA URINA DO DIA ATÉ A PRIMEIRA URINA DO DIA SEGUINTE, COLETAR NO FRASCO FORNECIDO. ", , , 
RETICULÓCITOS,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ROTAVÍRUS,"NÃO É NECESSÁRIO DIETA, NEM JEJUM ALIMENTAR.", , , 
RÚBEOLA IGG,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
RÚBEOLA IGM,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
SATURAÇÃO DE TRANSFERRINA,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
SDHEA (SULFATO DE DEHIDROEPIANDROSTERONA),ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
SISTEMA ABO/RH,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
SÓDIO (NA),ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
SOMATOMEDINA (IGF1),ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
T3,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
T3L,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
T4L,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
TEMPO DE PROTROMBINA (TP),ESTE EXAME NÃO NECESSITA DE JEJUM. , ,Informar os medicamentos usados; principalmente uso de anticoagulantes orais., 
TEMPO DE TROMBOPLASTINA PARCIALMENTE ATIVADO (TTPA),ESTE EXAME NÃO NECESSITA DE JEJUM. , ,Informar os medicamentos usados; principalmente uso de anticoagulantes orais., 
TESTES TREPONÊMICOS (FTABS),ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
TESTOSTERONA LIVRE, CRIANÇAS ATÉ 6 ANOS DE IDADE: JEJUM DE 3 HORAS. CRIANÇAS MAIORES DE 6 ANOS E ADULTOS: JEJUM DE 8 HORAS. A COLETA DEVE SER FEITA PELA MANHÃ., , , 
TESTOSTERONA TOTAL, CRIANÇAS ATÉ 6 ANOS DE IDADE: JEJUM DE 3 HORAS. CRIANÇAS MAIORES DE 6 ANOS E ADULTOS: JEJUM DE 8 HORAS. A COLETA DEVE SER FEITA PELA MANHÃ., , , 
TIREOGLOBULINA,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
TOXOPLASMOSE IGG,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
TOXOPLASMOSE IGM,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
TRANSFERRINA,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
TRIGLICERÍDEOS,CRIANÇAS ATÉ 3 ANOS E 11 MESES: JEJUM DE 3 HORAS OU INTERVALO ENTRE AS MAMADAS. CRIANÇAS ACIMA DE 4 ANOS E ADULTOS: JEJUM DE 8 A 12 HORAS, , ,Não ingerir bebidas alcoólicas 72 horas antes do exame.
TSH,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
URÉIA,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
URINA TIPO 1,"ESTE EXAME NÃO NECESSITA DE JEJUM. COLETAR NO LOCAL, REALIZAR A HIGIENIZAÇÃO COM GAZE UMEDECIDA EM CLOREXIDINA ANTES DA COLETA. DESPREZAR O PRIMEIRO JATO, COLETAR O RESTANTE DO MATERIAL NO FRASCO FORNECIDO E FECHAR BEM.", , , 
VELOCIDADE DE HEMOSSEDIMENTAÇÃO (VHS),ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
VDRL PARA SÍFILIS,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
VITAMINA B12,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
VITAMINA D3,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ZINCO,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
